Name,Street,Postal,Locality,Region,Phone,Mobile,Fax,Website,Service,Keyword,Facilities,Categories,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday
NL Contracts Limited,"The Louvre Works, Unit 5-7, Beacon Trading Estate",WS9 8DU,Aldridge ,West Midlands England,1922457204,1922453427,NA,www.nlcontracts.co.uk,"Ductwork, Dust Extraction, Fume Extraction, Acoustic Enclosures, Acoustic Doors, Acoustic Louvres, Acoustic Wall, Sunscreens, Metal Products Manufacturer, Ventilation, Grilles, Site Surveys, Louvres, Diffusers, Fume, Natural Ventilation, Brise Soleil, Passive Ventilation, Naturalvent, Screening Louvres, Aluminium Solar Shading, Sun Louvres, Timber Brise Soleil, Weld Fume Extraction, Acoustic Louvre Screen, Circular Louvres, Solar Control Louvres, Sunscreening, Wooden Brise Soleil, Acoustic Louvred Enclosure, Acoustic Screening Louvres, Aluminium Louvred Doors, Boiler House Louvre Doors, Duct Modifications, External Louvred Plant Screens, Flanged Louvre, Insulated Damper, Louvered Screen, Louvred Enclosures, Louvred Gas Bottle Enclosure, Louvred Screen, Roofavent Terminal, Solar Sun Shading Louvres, Tria, uPVC Louvred Screen, Western Red Cedar Brise Soleil, Louvre Screens","Ductwork, Dust Extraction, Fume Extraction, Acoustic Enclosures, Acoustic Doors, Acoustic Louvres, Acoustic Wall, Sunscreens, Metal Products Manufacturer, Ventilation, Grilles, Site Surveys, Louvres, Diffusers, Fume, Natural Ventilation, Brise Soleil, Passive Ventilation, Naturalvent, Screening Louvres, Aluminium Solar Shading, Sun Louvres, Timber Brise Soleil, Weld Fume Extraction, Acoustic Louvre Screen, Circular Louvres, Solar Control Louvres, Sunscreening, Wooden Brise Soleil, Acoustic Louvred Enclosure, Acoustic Screening Louvres, Aluminium Louvred Doors, Boiler House Louvre Doors, Duct Modifications, External Louvred Plant Screens, Flanged Louvre, Insulated Damper, Louvered Screen, Louvred Enclosures, Louvred Gas Bottle Enclosure, Louvred Screen, Roofavent Terminal, Solar Sun Shading Louvres, Tria, uPVC Louvred Screen, Western Red Cedar Brise Soleil, Louvre Screens",NA,"Construction & Contractors,Engineering,Acoustic Engineers & Consultants",08:00 - 17:00,08:00 - 17:00,08:00 - 13:00,Closed,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00
Bropel Technical Welding Services Ltd,"Shenstone Drive Northgate, Aldridge",WS9 8XU,Aldridge ,West Midlands England,01922 745745,07866 611235,01922 745745,bropel.co.uk,"Wrought Iron, Railings, On-Site Welding, Metal Fabrication, Business Support, Business Advice, Engineering, Automotive, Industry, Welders, Plastics, Stainless Steel Fabrication, Aluminium Fabrication, Arc Welding, supplies and services, Architectural Fabrication, Hardfacing, Heat Sink, Car Manufacturing, Wear Plate, Weld Repair, Aluminium Weld Repairs, Press Tool Repairs","Wrought Iron, Railings, On-Site Welding, Metal Fabrication, Business Support, Business Advice, Engineering, Automotive, Industry, Welders, Plastics, Stainless Steel Fabrication, Aluminium Fabrication, Arc Welding, supplies and services, Architectural Fabrication, Hardfacing, Heat Sink, Car Manufacturing, Wear Plate, Weld Repair, Aluminium Weld Repairs, Press Tool Repairs",NA,"Construction & Contractors,Building Materials,Wrought Ironwork",07:45 - 17:00,07:45 - 17:00,Closed,Closed,07:45 - 17:00,07:45 - 17:00,07:45 - 17:00
Holbourne Industrial Plastics Ltd,"E3 - E4 Phoenix Works, Middlemore Lane West ",WS9 8BG,Aldridge ,West Midlands England,01922 745080,01922 458938,NA,britishmicanizing.co.uk,"Plastics Manufacturers & Supplies, Plastic Mould, Plastics Engineering, Plastic Moulding, Acrylic, Plastic Services, Engineering Plastics Suppliers","Plastics Manufacturers & Supplies, Plastic Mould, Plastics Engineering, Plastic Moulding, Acrylic, Plastic Services, Engineering Plastics Suppliers",NA,"Industry & Manufacturing,Plastics & Rubber,Plastic Products",09:00 - 17:00,09:00 - 17:00,Closed,Closed,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00
Bristol Forklifts Ltd.,Aldridge ,WS9 8ER,Aldridge ,West Midlands England,NA,NA,NA,,NA,"Industrial Machinery, Wholesale Equipment",NA,"Construction & Contractors,Engineering,Engineers' Equipment & Supplies",NA,NA,NA,NA,NA,NA,NA
Army Cadet Force,"THE T A CENTRE, REDAN ROAD",GU12 4SN,Aldershot ,Hampshire England,01252 310207,NA,NA,,NA,"Youth Organisations, Youth Centre, Centres, Voluntary, Youth Organisations & Centres",NA,"Community & Government,Organisations, Associations & Clubs,Youth Organisations, Centres & Clubs",NA,NA,NA,NA,NA,NA,NA
Oxfam Shop Belper,74 King Street ,DE56 1PZ,Belper ,Derbyshire England,01773 827090,NA,NA,www.oxfam.org.uk,"Charity Shops, Retailers","Charity Shops, Retailers",NA,"Community & Government,Charities & Voluntary Organisations",09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,Closed,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00
Timpson Ltd,17 Theatre Walk Eagle Centre ,DE1 2NF,Derby ,Derbyshire England,01332 382790,NA,NA,www.timpson.co.uk,"Photo Engraving, Letter Boxes, Engraving Business, Mini Vault Safes","Photo Engraving, Letter Boxes, Engraving Business, Mini Vault Safes",NA,"Home & Garden,Personal & Household Goods Repair,Shoe Repairs",08:30 - 17:30,08:30 - 17:30,08:30 - 17:30,10:00 - 16:00,08:30 - 17:30,08:30 - 17:30,08:30 - 17:30
Bropel Specialist Welders Ltd,Vigo Place,WS9 8UG,Aldridge ,West Midlands England,01922 451151,07876 582565,01922 745746,bropel.co.uk,"Welders, Weld, On-Site Welding, Specialist Welding, Business Support, Business Advice, Metal Products, Metal Fabrication, Welding Equipment, Railings, Welding Tools, Plates, Stainless Steel Fabrication, Welding Materials, Laser Welding, Architectural Fabrication, Hardfacing, Wear Plate, Weld Repair, Aluminium Weld Repairs, Press Tool Repairs","Welders, Weld, On-Site Welding, Specialist Welding, Business Support, Business Advice, Metal Products, Metal Fabrication, Welding Equipment, Railings, Welding Tools, Plates, Stainless Steel Fabrication, Welding Materials, Laser Welding, Architectural Fabrication, Hardfacing, Wear Plate, Weld Repair, Aluminium Weld Repairs, Press Tool Repairs",NA,"Construction & Contractors,Building Materials,Gate Manufacturers",NA,NA,NA,NA,NA,NA,NA
Bob Turner Specialist Welding Services,"UNITS 5-6, MERCHANTS WAY ",WS9 8SW,Aldridge ,West Midlands England,01922 455334,01922 455334,NA,,"Welders, Weld, Welding Equipment, Welding Tools","Welders, Weld, Welding Equipment, Welding Tools",NA,"Industry & Manufacturing,Welders",NA,NA,NA,NA,NA,NA,NA
Youth Service,"Aldershot Library, 109 High Street",GU11 1DQ,Aldershot ,Hampshire England,01252 311786,01252 310374,NA,,"Youth Organisations, Youth Centre, Leisure, Sports, Centres, Library, Voluntary, Club, Organisations, Youth Organisations & Centres","Youth Organisations, Youth Centre, Leisure, Sports, Centres, Library, Voluntary, Club, Organisations, Youth Organisations & Centres",NA,"Community & Government,Organisations, Associations & Clubs,Youth Organisations, Centres & Clubs",NA,NA,NA,NA,NA,NA,NA
Post Office Limited,83 Prince Charles Avenue ,DE22 4BG,Derby ,Derbyshire England,01332 345275,NA,NA,www.postoffice.co.uk,"Post Office, Mail Delivery, Current Account Servicing, Facilities for Hard of Hearing People, Foreign Currency Euros Only, Ink and Toner, National Express Tickets","Post Office, Mail Delivery, Current Account Servicing, Facilities for Hard of Hearing People, Foreign Currency Euros Only, Ink and Toner, National Express Tickets","Post Office, Mail Delivery, Current Account Servicing, Facilities for Hard of Hearing People, Foreign Currency Euros Only, Ink and Toner, National Express Tickets","Business & Professional Services,Postal Services,Post Office",09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,Closed,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30
Love Flowers,281 Tettenhall Rd ,WV3 8BT,Wolverhampton ,West Midlands England,01902 746511,07843 810402,NA,www.loveflowersuk.co.uk,NA,"Wedding Flowers, Funeral Flowers, Hand Tied Bouquets",NA,"Business & Professional Services,Wedding Services,Wedding Flowers",Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours
Timpson,Max Spielmann Unit 156 Westfield ,DE1 2PQ,Derby ,Derbyshire England,01332 242817,NA,NA,www.timpson.co.uk,"Photo Engraving, Letter Boxes, Engraving Business, Mini Vault Safes","Photo Engraving, Letter Boxes, Engraving Business, Mini Vault Safes",NA,"Home & Garden,Personal & Household Goods Repair,Shoe Repairs",09:00 - 20:00,09:00 - 20:00,09:00 - 19:00,10:30 - 16:30,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00
Derby Stove Enamelling Ltd,"UNITS 8 & 9 DERBY TRADING ESTATE, STORES ROAD ",DE21 4BE,Derby ,Derbyshire England,1332349147,NA,NA,,"Coatings, Paints and Coatings, Paint Stores, Paint Shop Pro, Metal Stamping","Coatings, Paints and Coatings, Paint Stores, Paint Shop Pro, Metal Stamping",NA,"Construction & Contractors,Building Materials,Paint & Coatings",NA,NA,NA,NA,NA,NA,NA
Oxfam Charity Shops Derby,"Morrisons, Wheatcroft Way / Sir Frank Whittle Rd ",DE21 4RX,Derby ,Derbyshire England,0300 200 1292,NA,NA,www.oxfam.org.uk,Charity Shops,Charity Shops,NA,"Community & Government,Charities & Voluntary Organisations",09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,11:00 - 15:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00
Sweet Williams,"35 Roseville Precinct, Castle Street ",WV14 9EP,Bilston ,West Midlands England,01902 678398,NA,NA,,NA,"Wedding Flowers, Flower Delivery",NA,"Business & Professional Services,Wedding Services,Wedding Flowers",NA,NA,NA,NA,NA,NA,NA
Oakham Finance,West Mall ,DE1 2PL,Derby ,Derbyshire England,01332 366383,NA,NA,www.oxfam.org.uk,"acrylic paintings, second-hand cameras, books, bridal, household items, kids' clothing, men's clothing, music cds, film dvds, video games, stamps, coins, toys, games, women's clothing",NA,NA,"Community & Government,Charities & Voluntary Organisations",09:00 - 20:00,09:00 - 20:00,09:00 - 19:00,10:30 - 16:30,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00
Co-op superstore Lichfield,Boley Park ,WS14 9XU,Lichfield ,Staffordshire England,01543 411081,NA,NA,www.fleurtationsflowersintheco-op.co.uk,NA,"Wedding Flowers, Qualified Florist, Romantic Bouquet",NA,"Business & Professional Services,Wedding Services,Wedding Flowers",07:00 - 19:00,07:00 - 19:00,07:00 - 19:00,10:00 - 16:00,07:00 - 19:00,07:00 - 19:00,07:00 - 19:00
Daisy Bumbles Flowers & Gifts Tipton,219 Toll End Road ,DY4 0HP,Tipton ,West Midlands England,0121 531 6106,NA,NA,daisybumbles.florist,NA,"Best florist Tipton, Bouquets florist Tipton, Celebration flowers Tipton, Christmas shop Tipton, Florist Dudley, Florist Great Bridge Tipton, Florist West Bromwich, Florists Wednesbury, Flower shop Great Bridge Tipton, Flower shop in West Bromwich, Flower shop Tipton, Flower shop Wednesbury, Funeral flowers Great Bridge Tipton, Funeral flowers Tipton, Funeral flowers Wednesbury, Funeral flowers West Bromwich, Sympathy flowers Dudley, Sympathy flowers in Great Bridge Tipton, Wedding flowers Great Bridge Tipton, Wedding flowers Tipton, Wedding flowers Wednesbury, Wedding flowers West Bromwich",NA,"Business & Professional Services,Wedding Services,Wedding Flowers",09:00 - 16:00,09:00 - 16:00,09:00 - 14:00,10:00 - 12:00,09:00 - 16:00,Closed,09:00 - 16:00
Timpson Derby,"TIMPSON LTD 41 42 63 MARKET HALL, TENANT STREET ",DE1 2DB,Derby ,Derbyshire England,1332364745,NA,NA,www.timpson.co.uk,"Photo Engraving, Letter Boxes, Engraving Business, Mini Vault Safes","Photo Engraving, Letter Boxes, Engraving Business, Mini Vault Safes",NA,"Home & Garden,Personal & Household Goods Repair,Shoe Repairs",09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,10:00 - 16:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00
Just Flowers,"BEACON ROAD, OFF PINFOLD LANE ",WS9 0QS,Aldridge ,West Midlands England,0121 360 2229,01908 609761,NA,,NA,"Flowers, Flower Delivery, Flower Bouquets, Birthday Flowers, Special Occasion Flowers, Bouquets, Florist Shops, Flower Shops, Flowers and Gifts, Posies, Mother's Day Flowers, Valentine's Day Flowers, Wedding Flowers",NA,"Shopping & Retail,Florists",NA,NA,NA,NA,NA,NA,NA
Streetly Florists,317B Chester Road ,WS9 0PH,Aldridge ,West Midlands England,0121 353 1489,07757 515839,NA,www.streetlyflorist.co.uk,NA,"Flowers, Flower Delivery, Flower Bouquets, Birthday Flowers, Special Occasion Flowers, Bouquets, Florist Shops, Flower Shops, Flowers and Gifts, Posies, Mother's Day Flowers, Valentine's Day Flowers, Wedding Flowers, Antiques, Antique Shops, Antique Stores",NA,"Shopping & Retail,Florists",09:00 - 17:00,09:00 - 17:00,09:00 - 14:00,Closed,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00
Flowercraft,86 Chapel Ash ,WV3 0TY,Wolverhampton ,West Midlands England,01902 712626,NA,NA,www.flowercraftflowers.co.uk,"Flowers and Gifts, Online Florists, Shopping & Retail","Flowers and Gifts, Online Florists, Shopping & Retail",NA,"Business & Professional Services,Wedding Services,Wedding Flowers",09:00 - 17:00,09:00 - 17:00,09:00 - 13:00,Closed,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00
Herbarium of Aldridge,3 High St ,WS9 8LX,Aldridge ,West Midlands England,01922 745533,01922 745545,NA,www.herbariumflorist.co.uk,"Flowers, Flower Delivery, Flower Bouquets, Birthday Flowers, Special Occasion Flowers, Bouquets, Florist Shops, Flower Shops, Flowers and Gifts, Posies, Mother's Day Flowers, Valentine's Day Flowers, Interflora Florists, Hand Crafted Designs, Wedding Flowers, International Delivery, National Delivery, Unique 3 Hour Delivery","Flowers, Flower Delivery, Flower Bouquets, Birthday Flowers, Special Occasion Flowers, Bouquets, Florist Shops, Flower Shops, Flowers and Gifts, Posies, Mother's Day Flowers, Valentine's Day Flowers, Interflora Florists, Hand Crafted Designs, Wedding Flowers, International Delivery, National Delivery, Unique 3 Hour Delivery",NA,"Shopping & Retail,Florists",09:00 - 17:30,09:00 - 17:30,09:00 - 16:00,Closed,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30
Snapdragon Florists Ltd,134 Walsall Road ,B71 3HP,West Bromwich ,West Midlands England,0121 588 4488,01733 562051,0121 588 4488,,NA,"Flowers, Wedding Flowers, Flower Delivery, Flower Bouquets, Birthday Flowers, Special Occasion Flowers, Bouquets, Florist Shops, Flower Shops, Flowers and Gifts, Posies, Mother's Day Flowers, Valentine's Day Flowers",NA,"Business & Professional Services,Wedding Services,Wedding Flowers",09:00 - 17:00,09:00 - 17:00,09:00 - 16:00,Closed,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00
Action In Mind,19 Dean Cres ,FK8 1UR,Stirling ,Stirling Scotland,01786 451203,01786 449185,NA,www.actioninmind.org.uk,NA,"Charities, Voluntary Organisations, Charitable & Voluntary Organisations, Volunteering, Charity Projects, Charitable Organisations, Charity Donations, Charities & Voluntary Organisations, Social Services, Non-Profit Organisation, Voluntary, Public Interest",NA,"Community & Government,Social Services,Social Services & Welfare Organisations",09:00 - 17:00,09:00 - 17:00,Closed,Closed,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00
Stirling PDSA Shop Volunteer Retail Assistant,71 Port Street ,FK8 2ER,Stirling ,Stirling Scotland,01786 478150,NA,NA,www.pdsa.org.uk,"Animal Charities, Vetcare, Charity Shops, Veterinary Charity, Dog Coats, Cat Beds, Food Bowls","Animal Charities, Vetcare, Charity Shops, Veterinary Charity, Dog Coats, Cat Beds, Food Bowls",NA,"Pets & Animals,Veterinary Services,Veterinarians",09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,12:00 - 16:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00
Volunteer Development Scotland,"Jubilee House, Forthside Way ",FK8 1QZ,Stirling ,Stirling Scotland,01786 479593,NA,NA,www.volunteerscotland.net,NA,"Information Services, Non-Profit Organisation, Food & Beverage Company, Event Planners, Vacation Home Rentals",NA,"Business & Professional Services,Information Bureaus & Services",09:00 - 17:00,09:00 - 17:00,Closed,Closed,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00
Stirling BHF Shop,7 King Street ,FK8 1DN,Stirling ,Stirling Scotland,01786 473462,NA,NA,www.bhf.org.uk,"Heart Charity, Charity Shops","Heart Charity, Charity Shops",NA,"Community & Government,Charities & Voluntary Organisations",09:30 - 05:00,09:30 - 05:00,09:30 - 05:00,11:00 - 04:00,09:30 - 05:00,09:30 - 05:00,09:30 - 05:00
BHF British Heart Foundation - Book Bank - Morrisons Munro Road,Munroe Road ,FK7 7UU,Springkerse Industrial Estate ,Stirling Scotland,01372 477300,NA,NA,www.bhf.org.uk,"Heart Charity, Charity Shops","Heart Charity, Charity Shops",NA,"Community & Government,Charities & Voluntary Organisations",NA,NA,NA,NA,NA,NA,NA
Scarletts,55 Holland Road ,B72 1RQ,Sutton Coldfield ,West Midlands England,0121 355 4975,NA,NA,www.scarlettsflorist.co.uk,NA,"Wedding Flowers, Funeral Tributes",NA,"Business & Professional Services,Wedding Services,Wedding Flowers",NA,NA,NA,NA,NA,NA,NA
Scottish Disability Equality Forum,"12 ENTERPRISE HOUSE, SPRINGKERSE BUSINESS PARK ",FK7 7UF,Alloa ,Stirling,01786 446456,01786 450902,NA,www.sdef.org.uk,NA,"Charities, Voluntary Organisations, Volunteering, Charity Projects, Charities & Voluntary Organisations, Non-Profit Organisation, Consultation, Policy Officer, Sdef",NA,"Community & Government,Charities & Voluntary Organisations",NA,NA,NA,NA,NA,NA,NA
The Prince's Trust Volunteers,Branshill Roadsauchie,FK10 3BT,Sauchie ,Clackmannanshire Scotland,01259 220 550,01259 722 879,NA,,NA,"Charities, Educational Institution, Higher Education",NA,"Community & Government,Charities & Voluntary Organisations",NA,NA,NA,NA,NA,NA,NA
Cats Protection Clackmannanshire Charity Shop,OCHILVALE TERRACE ,FK10 3HT,Fishcross ,Clackmannanshire Scotland,01259 720555,NA,NA,www.cats.org.uk,"Cat Charity Organization, Busters","Cat Charity Organization, Busters",NA,"Community & Government,Organisations, Associations & Clubs,Animal Welfare Organisations",NA,NA,NA,NA,NA,NA,NA
The Volunteer Arms,132 HIGH STREET ,FK13 6DU,Tillicoultry ,Clackmannanshire Scotland,01259 750368,NA,NA,,NA,"Pubs, Public Houses, Bars, Bars and Inns, Drinking Establishments, Inn, Going out, Night Clubs",NA,"Arts, Entertainment & Nightlife,Bars & Pubs",Closed,11:00 - 01:00,11:00 - 01:00,Closed,Closed,Closed,Closed
Citizens Advice Bureaux,47 Drysdale Street ,FK10 1HS,Alloa ,Clackmannanshire Scotland,01259 219404,NA,NA,www.cas.org.uk,"Advertising Agency, Information Services, Advice Services, Internet Advertising, Multimedia Advertising, Web Advertising, Banner Advertising, Advice Guide, Counselling and Advice, Advertising Specialist, Citizens Advice, Housing Advice, Money Advice, Employment Legislation, Charity Advice, Health, Charities, Charitable & Voluntary Organisations, Housing, Employment, Council, Independent, Volunteering, Help, Support Services, Consumer, Experience, Location, Client, Volunteer, Campaigns, Informations, Advisory, Citizen, Discrimination, Civil Rights, Housing Rights, Consumer Issues, Getting Advice, Work Related Problems","Advertising Agency, Information Services, Advice Services, Internet Advertising, Multimedia Advertising, Web Advertising, Banner Advertising, Advice Guide, Counselling and Advice, Advertising Specialist, Citizens Advice, Housing Advice, Money Advice, Employment Legislation, Charity Advice, Health, Charities, Charitable & Voluntary Organisations, Housing, Employment, Council, Independent, Volunteering, Help, Support Services, Consumer, Experience, Location, Client, Volunteer, Campaigns, Informations, Advisory, Citizen, Discrimination, Civil Rights, Housing Rights, Consumer Issues, Getting Advice, Work Related Problems",NA,"Community & Government,Individual & Family Services,Counselling & Advice Services",09:00 - 17:00,09:00 - 17:00,Closed,Closed,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00
Clackmannanshire Volunteering Development Agency,14-16 Bank Street ,FK10 1HP,Alloa ,Clackmannanshire Scotland,01259 215237,01259 215328,NA,,NA,"Charities, Voluntary Organisations, Volunteering, Charity Projects, Charitable Organisations, Humanitarian Aid, Voluntary Services, Voluntary Association, Volunteer, Volunteer Opportunities, Aid Agencies, Humanitarian Organisations, Non-Profit Organisation, Organisations, Voluntary, Public Interest",NA,"Community & Government,Charities & Voluntary Organisations",NA,NA,NA,NA,NA,NA,NA
Levina House,17 Victoria Embankment ,NG2 2JY,Nottingham ,Nottinghamshire England,0115 986 1555,NA,NA,,NA,"Residential Care Homes, Learning Difficulties, Caring Premises",NA,"Education,Schools,Special Schools",NA,NA,NA,NA,NA,NA,NA
"Acorn House Care Home, Nottingham",1 Oak St ,NG5 2AT,Nottingham ,Nottinghamshire England,0115 960 5981,NA,NA,acornhousecare.co.uk,NA,NA,NA,"Health & Medicine,Residential Care,Nursing & Convalescent Homes",NA,NA,NA,NA,NA,NA,NA
MILESTONES CARE LIMITED,37 Ridsdale Road,NG5 3GR,Nottingham ,Nottinghamshire England,0115 837 5426,NA,NA,www.dropcatch.com/redirect/?domain=milestonescare.com,NA,NA,NA,"Education,Schools,Special Schools",NA,NA,NA,NA,NA,NA,NA
Intergenerational Volunteering Project,"14-16, Bank St ",FK10 1HP,Alloa ,Clackmannanshire Scotland,01259 729777,NA,NA,,NA,Voluntary Organisations,NA,"Community & Government,Charities & Voluntary Organisations",NA,NA,NA,NA,NA,NA,NA
Community Partnership TEAM,1 CANDLERIGGS ,FK10 1EA,Alloa ,Clackmannanshire Scotland,01259 725111,NA,NA,,NA,"Volunteering, Community Projects, Non-Profit Organisation",NA,"Community & Government,Community Projects & Services",NA,NA,NA,NA,NA,NA,NA
Bethel Healthcare Services Ltd,10 Sherwood Rise ,NG7 6JE,Nottingham ,Nottinghamshire England,0115 856 1395,07821 433174,NA,www.bethelhealthcareservices.co.uk,NA,"Learning Difficulties, Mental Health Support, Dementia Care, Old Age 65, Medical Company, Physical Disability, Health/Medical/Pharmaceuticals",NA,"Education,Schools,Special Schools",NA,NA,NA,NA,NA,NA,NA
S&H Activities,1 Dabek Rise ,NG17 9EB,Kirkby-In-Ashfield ,Nottinghamshire England,7925927444,NA,NA,www.sandhactivities.co.uk,"Care Homes, Learning Difficulties, Home Care, Local Business, Shopping & Retail, Disability Services, Day Centre, Elderly, Dementia","Care Homes, Learning Difficulties, Home Care, Local Business, Shopping & Retail, Disability Services, Day Centre, Elderly, Dementia",NA,"Health & Medicine,Residential Care,Residential, Retirement & Care Homes",08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,Closed,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00
TAILOR MAID CARE SOLUTIONS LIMITED,"Adam Court, North Gate ",NG7 7GR,Nottingham ,Nottinghamshire England,NA,NA,NA,,NA,"Residential Care Homes, Home Care Services",NA,"Health & Medicine,Residential Care,Residential, Retirement & Care Homes",NA,NA,NA,NA,NA,NA,NA
Alloa BHF Shop,47 Mill Street ,FK10 1DX,Alloa ,Clackmannanshire Scotland,01259 721635,NA,NA,www.bhf.org.uk,"Heart Charity, Charity Shops","Heart Charity, Charity Shops",NA,"Community & Government,Charities & Voluntary Organisations",09:30 - 05:00,09:30 - 05:00,09:30 - 05:00,Closed,09:30 - 05:00,09:30 - 05:00,09:30 - 05:00
The Manor House,137 Manor Road ,DE23 6BU,Derby ,Derbyshire England,01332 372358,NA,NA,,NA,"Residential Care Homes, Learning Difficulties, Caring Premises",NA,"Health & Medicine,Residential Care,Residential, Retirement & Care Homes",NA,NA,NA,NA,NA,NA,NA
Derwent View,5 Dorset Street ,DE21 6BE,Derby ,Derbyshire England,01332 616162,01332 616065,01332 616063,www.qualitycare-em.co.uk,NA,"Residential Care Homes, Learning Difficulties, Residential & Retirement Homes, Caring Premises, Old Age 65, Physical Disability",NA,"Health & Medicine,Residential Care,Residential, Retirement & Care Homes",NA,NA,NA,NA,NA,NA,NA
Path Project,38 PRIMROSE STREET,FK10 2JG,Alloa ,Clackmannanshire Scotland,01259 212044,01474 364763,NA,,NA,"Charities, Voluntary Organisations, Volunteering, Charity Projects, Charities & Voluntary Organisations, Children's Charities, Action for Children, Non-Profit Organisation, Organisations, Public Interest, Children's Childrens",NA,"Community & Government,Charities & Voluntary Organisations",NA,NA,NA,NA,NA,NA,NA
Lawn Primary School,"Norbury Close, Allestree ",DE22 2QR,Allestree ,Derbyshire England,01332 550178,01332 550178,NA,www.lawn.derby.sch.uk,NA,"School, Schooling, Local Authority Schools, Community School, Schools and Colleges, Primary School, Special School, Education, Learning, Teaching, Classes, College, University, Student, Teaching Activities, Local Authority Maintained, Teaching Methods",NA,"Education,Schools",NA,NA,NA,NA,NA,NA,NA
Portway Infant School,Woodlands Road ,DE22 2HE,Allestree ,Derbyshire England,01332 550702,NA,NA,www.portwayi.derby.sch.uk,NA,"School, Schooling, Local Authority Schools, Community School, Infant School, Special School, Education, Learning, Teaching, Classes, College, University, Student, Teaching Activities, Local Authority Maintained, Teaching Methods",NA,"Education,Schools",NA,NA,NA,NA,NA,NA,NA
Flowers By Marcus,18 Nottingham Road ,DE55 7HL,Alfreton ,Derbyshire England,01773 835878,01638 720135,01773 833832,www.flowersbymarcus.co.uk,"Flowers, Floral Displays, Lilies, Retail Florists, Online Florists, Interflora Florists","Flowers, Floral Displays, Lilies, Retail Florists, Online Florists, Interflora Florists",NA,"Shopping & Retail,Florists",09:00 - 17:30,09:00 - 17:30,09:00 - 16:00,Closed,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30
Co-op Food ALFRETON,24 High Street ,DE55 5NY,Alfreton ,Derbyshire England,01773 873658,NA,NA,finder.coop.co.uk/food/store/de55-5ny/24-high-street,NA,"Grocery, Food Suppliers, Drink Suppliers, ATM Cashpoint","Grocery, Food Suppliers, Drink Suppliers, ATM Cashpoint","Food & Beverages,Food Retailers,Convenience Stores",07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,08:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00
Co-op Food ALFRETON,High Street,DE55 2BN,Alfreton ,Derbyshire England,01773 583472,NA,NA,www.co-operativefood.co.uk,NA,"Grocery, Food Suppliers, Drink Suppliers, ATM Cashpoint","Grocery, Food Suppliers, Drink Suppliers, ATM Cashpoint","Food & Beverages,Food Retailers,Convenience Stores",07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,10:00 - 16:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00
Tesco Superstore,Hall St ,DE55 7BT,Alfreton ,Derbyshire England,0345 677 9833,NA,NA,http://www.tesco.com/store-locator/uk/,NA,"Supermarkets, Grocery Stores, Wine Stores, Bakery, Card Shops",NA,"Food & Beverages,Food Retailers,Supermarkets",Open 24 Hours,Open 24 Hours,Open 24 Hours,10:00 - 16:00,06:00 - 24:00,Open 24 Hours,Open 24 Hours
Woodlands Community School,Blenheim Drive,DE22 2LW,Allestree ,Derbyshire England,01332 551921,01332 553869,NA,www.woodlands.derby.sch.uk,NA,"School, Schooling, Local Authority Schools, Secondary Education, Middle School, Public School, Special School, Secondary School, Local Business, Education, Learning, Teaching, Classes, Student, Teaching Activities, Local Authority Maintained, Teaching Methods, Teachers, Pupils, Child, Foundation School, Recreation & Fitness Venue, Parent, Exam, Virtual Learning Environment, Allestree, School Tours, School Office, Good Deal",NA,"Education,Schools",08:45 - 15:15,08:45 - 15:15,Closed,Closed,08:45 - 15:15,08:45 - 15:15,08:45 - 15:15
