Name,Official Name,Company Number,Jurisdiction,Previous Names,SIC code,Incorporation Date,Company Type,Street,Postal,Locality,Region,Phone,Email2,Mobile,Fax,Website,Email,Products,Service,Keyword,Brands,Service Areas,Contact Person,Contact Phone,Facilities, All Categories present in,Payment Methods,Social Media,Categories,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,URL
Contract Deliveries,NA,NA,NA,NA,NA,NA,NA,ALLOY INDUSTRIAL ESTATE ,SA8 4EN,Pontardawe ,Neath Port Talbot Wales,01792 860152,NA,01792 860153,01792 864890,,NA,NA,"Transportation, Transport","Road Haulage, Haulage, Road Haulage Contractors, Road Haulage Transport, Hauling, Freight Companies, Haulage Contractors, Hauliers, Transportation & Logistics, Road Haulage Companies, Transport Companies, Services, Haul, Logistics, Transport & Logistics",NA,NA,,NA,NA,"Transportation Pontardawe,Ground Transportation Pontardawe,Road Haulage & Freight Forwarding Pontardawe,Transportation,Ground Transportation,Road Haulage & Freight Forwarding",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pontardawe.cylex-uk.co.uk/company/contract-deliveries-15589581.html
The Flower Box,NA,NA,NA,NA,NA,NA,NA,"4 Station Square, Windsor Rd ",SA11 1BY,Neath ,Neath Port Talbot Wales,01639 633839,NA,07970 869612,NA,,NA,Flower Arrangement,"Artificial flowers & plants, Chair cover hire, Florists, Flower arrangements, Flower delivery, Flowers, Funeral flowers, Wedding flowers","Flower Bouquets, Birthday Flowers, Special Occasion Flowers, Bouquets, Florist Shops, Flower Shops, Flowers and Gifts, Posies, Mother's Day Flowers, Valentine's Day Flowers",NA,NA,,NA,NA,"Shopping & Retail Neath,Florists Neath,Shopping & Retail,Florists","Cash,Cheque,Maestro,MasterCard,Visa",https://www.facebook.com/Flower-Box-Neath-167614913280785/about/,Florists,NA,NA,NA,NA,NA,NA,NA,https://neath.cylex-uk.co.uk/company/the-flower-box-15700331.html
Yummies Ystrad Gynlais,NA,NA,NA,NA,NA,NA,NA,15 Station Road ,SA9 1NT,Ystradgynlais ,Neath Port Talbot Wales,01639 843333,NA,NA,NA,yummies-sa9.com,NA,NA,NA,Order Food Online,NA,NA,,NA,NA,"Food & Beverages Ystradgynlais,Takeaway Ystradgynlais,Pizza Takeaway Ystradgynlais,Food & Beverages,Takeaway,Pizza Takeaway,Food & Beverages,Restaurants,Turkish Restaurants,Food & Beverages,Restaurants,Fast Food Restaurants",,NA,NA,16:00 - 23:30,16:00 - 23:30,16:00 - 23:30,16:00 - 23:30,16:00 - 23:30,16:00 - 23:30,16:00 - 23:30,https://ystradgynlais.cylex-uk.co.uk/company/yummies-ystrad-gynlais-25824784.html
Cross Hands Food Park,NA,NA,NA,NA,NA,NA,NA,NEW ROAD,SA18 3EP,Ammanford ,Carmarthenshire Wales,01269 590294,anewperspective@carmarthenshire.gov.uk,01269 590290,NA,,NA,NA,NA,"County Council, Technology, Foods, Food Production, Welsh Assembly, Cross Hands, Cross Hands Food Park, Dawn Pac, Food Park",NA,NA,,NA,NA,"Community & Government Ammanford,Government Agencies & Offices Ammanford,Local Government Ammanford,Community & Government,Government Agencies & Offices,Local Government,Food & Beverages,Takeaway",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://ammanford.cylex-uk.co.uk/company/cross-hands-food-park-19133532.html
Eastern Star,NA,NA,NA,NA,NA,NA,NA,10 Heol-Cae-Gurwen ,SA18 1HB,Gwaun Cae Gurwen ,Neath Port Talbot Wales,01269 822912,NA,NA,NA,www.easternstargcg.co.uk,NA,NA,NA,"Takeaway, Takeaway Food, Takeaway Food Shops, Sandwich Shop, Indian Takeaway",NA,NA,,NA,NA,"Food & Beverages Gwaun Cae Gurwen,Best Takeaway Gwaun Cae Gurwen,Food & Beverages,Takeaway",,https://www.facebook.com/Eastern-Star-Tandoori-Ammanford-1611002819177556/,NA,17:00 - 23:00,17:00 - 24:00,17:00 - 24:00,17:00 - 23:00,17:00 - 23:00,17:00 - 23:00,17:00 - 23:00,https://gwaun-cae-gurwen.cylex-uk.co.uk/company/eastern-star-13051807.html
Kathards Lighting,NA,NA,NA,NA,NA,NA,NA,"TOWER COURT, 11 ST. DAVIDS ROAD ",SA6 8RU,Swansea Enterprise Park ,Swansea Wales,01792 797995,NA,01792 797995,NA,,NA,Lighting Accessories,NA,"Lighting Systems, Lamps, Lighting Retailers, Lamp Store, Lighting Shops",NA,NA,,NA,NA,"Construction & Contractors Swansea Enterprise Park,Lighting Fixtures & Accessories Swansea Enterprise Park,Construction & Contractors,Lighting Fixtures & Accessories",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://swansea-enterprise-park.cylex-uk.co.uk/company/kathards-lighting-13547694.html
Golden River Takeaway,NA,NA,NA,NA,NA,NA,NA,63 Station Road ,SA18 1SH,Upper Brynamman ,Carmarthenshire Wales,01623 847084,NA,01269 826387,NA,,NA,NA,NA,Takeaway,NA,NA,,NA,NA,"Food & Beverages Upper Brynamman,Takeaway Upper Brynamman,Food & Beverages,Takeaway",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://upper-brynamman.cylex-uk.co.uk/company/golden-river-takeaway-13884166.html
Shaan Tandoori Restaurant,NA,NA,NA,NA,NA,NA,NA,21 Commercial Rd ,SA11 4HF,Resolven ,Neath Port Talbot Wales,01639 710969,NA,NA,NA,,NA,NA,Reserve,"Takeaway, Cafe, Canteen, Restaurants, Indian Restaurant",NA,NA,,NA,dinner,"Food & Beverages Resolven,Takeaway Resolven,Food & Beverages,Takeaway",,https://www.facebook.com/pages/Shaan-Tandoori/114818068575142,NA,06:30 - 22:30,06:30 - 23:30,06:30 - 23:30,06:30 - 23:30,06:30 - 22:30,06:30 - 22:30,06:30 - 22:30,https://resolven.cylex-uk.co.uk/company/shaan-tandoori-restaurant-15686676.html
Carol's Flower Shop,NA,NA,NA,NA,NA,NA,NA,30 High Street ,SA6 5LG,Clydach ,Swansea Wales,01792 849195,NA,7723426333,NA,,NA,Flower Arrangement,NA,"Flowers, Flower Delivery, Flower Bouquets, Birthday Flowers, Special Occasion Flowers, Floristry, Flower Shops, Flowers and Gifts, Posies, Valentine's Day Flowers, Wedding Flowers, Bridesmaid Bouquets, Wedding Bouquets",NA,NA,,NA,NA,"Shopping & Retail Clydach,Florists Clydach,Shopping & Retail,Florists",,NA,Florists,NA,NA,NA,NA,NA,NA,NA,https://clydach-swansea.cylex-uk.co.uk/company/carol%27s-flower-shop-18853955.html
Golden Star,NA,NA,NA,NA,NA,NA,NA,15 Commercial Road ,SA11 4HF,Resolven ,Neath Port Talbot Wales,01639 711455,NA,NA,NA,,NA,NA,Delivery,"Takeaway, Meal Takeaway, Sandwich Shop, Local Business, Restaurants, Takeaway & Fast Food, Chinese Restaurant, Foods, Fast Food Restaurants, Asian Restaurants",NA,NA,,NA,"dinner, Delivery, Take Away","Food & Beverages Resolven,Takeaway Resolven,Food & Beverages,Takeaway",,https://www.facebook.com/pages/Golden-Star-Chinese-Restaurant-Resolven/170448159816689,NA,18:00 - 23:30,18:00 - 23:30,18:00 - 23:30,18:00 - 23:30,18:00 - 23:30,18:00 - 23:30,Closed,https://resolven.cylex-uk.co.uk/company/golden-star-12976600.html
Raj Mohal,NA,NA,NA,NA,NA,NA,NA,"11-13, BRECON ROAD ",SA9 1HE,Ystradgynlais ,Neath Port Talbot Wales,01639 849765,NA,NA,NA,,NA,Takeaway Menu,NA,"Takeaway Restaurant, Food Delivery",NA,NA,,NA,NA,"Food & Beverages Ystradgynlais,Takeaway Ystradgynlais,Food & Beverages,Takeaway",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/raj-mohal-12860094.html
7 Sisters Catering Ltd,7 SISTERS CATERING LTD,6446813,England/Wales,NA,56103 - Take-away food shops and mobile food stands,6-Dec-07,Private Limited Company,1A COMMERCIAL STREET ,SA10 9DW,Seven Sisters ,Neath Port Talbot Wales,NA,NA,NA,NA,,NA,NA,NA,"Takeaway, Takeaway Food Shops, Mobile Food Stands",NA,NA,,NA,NA,"Food & Beverages Seven Sisters,Takeaway Seven Sisters,Food & Beverages,Food Retailers,Fish & Chip Shops,Food & Beverages,Takeaway",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://seven-sisters.cylex-uk.co.uk/company/7-sisters-catering-ltd-20099776.html
SOUTH CERNEY FISH & CHIPS LTD,SOUTH CERNEY FISH & CHIPS LTD,8958414,England/Wales,NA,56103 - Take-away food shops and mobile food stands,25-Mar-14,Private Limited Company,"5 Commercial Street, Ystradgynlais ",SA9 1HD,Ystradgynlais ,Neath Port Talbot Wales,NA,NA,NA,NA,,NA,NA,NA,Takeaway,NA,NA,,NA,NA,"Food & Beverages Ystradgynlais,Takeaway Ystradgynlais,Food & Beverages,Takeaway",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/south-cerney-fish---chips-ltd-25093834.html
Farhan Takeaway,NA,NA,NA,NA,NA,NA,NA,"1 High Street, Seven Sisters",SA10 9DN,Neath ,Neath Port Talbot Wales,01639 701694,NA,NA,NA,,NA,NA,NA,Takeaway Food Shops,NA,NA,,NA,NA,"Food & Beverages Neath,Takeaway Neath,Food & Beverages,Takeaway",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://neath.cylex-uk.co.uk/company/farhan-takeaway-15613239.html
Pizza King,NA,NA,NA,NA,NA,NA,NA,"A, 1 Pentre Street, Glynneath",SA11 5HD,Neath ,Neath Port Talbot Wales,01639 721090,NA,NA,NA,www.thepizzaking.com,NA,NA,NA,"Takeaway, Pizza Delivery",NA,NA,,NA,NA,"Food & Beverages Neath,Restaurants Neath,Pizzeria Neath,Food & Beverages,Restaurants,Pizzeria,Food & Beverages,Takeaway",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://neath.cylex-uk.co.uk/company/pizza-king-16593477.html
The Pizza Place,NA,NA,NA,NA,NA,NA,NA,4 Gurnos Rd ,SA9 2JS,Ystradgynlais ,Neath Port Talbot Wales,01639 849024,NA,NA,NA,www.the-pizza-place.co.uk,NA,NA,NA,"Takeaway, Sandwich Shop",NA,NA,,NA,NA,"Food & Beverages Ystradgynlais,Best Takeaway Ystradgynlais,Food & Beverages,Takeaway",,NA,NA,18:00 - 22:00,17:00 - 23:00,17:00 - 23:00,17:00 - 22:00,Closed,Closed,18:00 - 22:00,https://ystradgynlais.cylex-uk.co.uk/company/the-pizza-place-13402257.html
Ystalyfera Chinese Take Away,NA,NA,NA,NA,NA,NA,NA,39 Gurnos Road ,SA9 2JA,Ystalyfera ,Neath Port Talbot Wales,01639 849446,NA,NA,NA,swanbiz.biz,NA,NA,NA,"Takeaway, Takeaway Food Shops, Sandwich Shop, Chinese Takeaway, Takeaway & Fast Food",NA,NA,,NA,NA,"Food & Beverages Ystalyfera,Takeaway Ystalyfera,Food & Beverages,Takeaway",,NA,NA,17:00 - 23:00,17:00 - 23:30,17:00 - 23:30,17:00 - 23:00,17:00 - 23:00,Closed,17:00 - 23:00,https://ystalyfera.cylex-uk.co.uk/company/ystalyfera-chinese-take-away-14727221.html
St. John Ambulance,NA,NA,NA,NA,NA,NA,NA,"THE TRAINING CENTRE/CHURCH LANE, OFF HEOL EGLWYS ",SA9 1EY,Ystradgynlais ,Neath Port Talbot Wales,07899 085490,NA,01246 558306,NA,,NA,NA,"First Aid Courses, First Aid Training","First Aid Training Courses, First Aid Trainer, First Aid",NA,NA,,NA,NA,"Education Ystradgynlais,Schools Ystradgynlais,Vocational Schools Ystradgynlais,Education,Schools,Vocational Schools",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/st--john-ambulance-13678181.html
The Studio Fitness Centre,NA,NA,NA,NA,NA,NA,NA,3 BRECON RD ,SA9 1HE,Ystradgynlais ,Neath Port Talbot Wales,01639 844334,NA,NA,NA,,NA,NA,NA,"Gym, Fitness Training, Physical Fitness, Fitness Program, Fitness Membership, Health Clubs, Health and Fitness",NA,NA,,NA,NA,"Sports & Recreation Ystradgynlais,Exercise & Fitness Ystradgynlais,Gyms & Fitness Centres Ystradgynlais,Sports & Recreation,Exercise & Fitness,Gyms & Fitness Centres",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/the-studio-fitness-centre-18696437.html
Kam Kong Garden,NA,NA,NA,NA,NA,NA,NA,47-49 Heol Eglwys ,SA9 1EY,Ystradgynlais ,Neath Port Talbot Wales,01639 843715,NA,NA,NA,swanbiz.biz/swansea/takeaways/kam-kong-garden,NA,NA,NA,"Takeaway, Takeaway Food, Sandwich Shop, Takeaway & Fast Food",NA,NA,,NA,NA,"Food & Beverages Ystradgynlais,Takeaway Ystradgynlais,Food & Beverages,Takeaway",,NA,NA,17:00 - 23:30,17:00 - 24:00,17:00 - 24:00,17:00 - 23:30,17:00 - 23:30,Closed,17:00 - 23:30,https://ystradgynlais.cylex-uk.co.uk/company/kam-kong-garden-15645250.html
Headway,NA,NA,NA,NA,NA,NA,NA,Pen-Y-Bryn,SA9 1JB,Ystradgynlais ,Neath Port Talbot Wales,01792 529615,headwaysouthpowys@hotmail.com,NA,NA,www.headwaysouthwestwales.org.uk,NA,NA,"drop in, family and carer support, information, service user groups","Charity Shops, Informations, Brain Injury Association, Drop",NA,NA,,NA,NA,"Community & Government Ystradgynlais,Charities & Voluntary Organisations Ystradgynlais,Community & Government,Charities & Voluntary Organisations,Community & Government,Charity Shops",,"https://www.facebook.com/headwayuk,https://twitter.com/intent/user?screen_name=headwayuk&original_referer=https%3a%2f%2fystradgynlais.cylex-uk.co.uk%2fcompany%2fheadway-25814754.html,https://www.youtube.com/user/headwayuk",NA,NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/headway-25814754.html
Sindys Kitchen,NA,NA,NA,NA,NA,NA,NA,20 Main Road ,SA10 8RE,Crynant ,Neath Port Talbot Wales,01639 750716,NA,NA,NA,,NA,NA,NA,"Takeaway, Sandwich Shop, Takeaway & Fast Food",NA,NA,,NA,NA,"Food & Beverages Crynant,Takeaway Crynant,Food & Beverages,Takeaway",Cash,NA,NA,17:30 - 23:00,17:30 - 23:00,17:30 - 23:00,18:00 - 23:00,17:30 - 23:00,17:30 - 23:00,17:30 - 23:00,https://crynant.cylex-uk.co.uk/company/sindys-kitchen-13283641.html
Watts Bricklaying & Carpentry Services,NA,NA,NA,NA,NA,NA,NA,42 Glantawe Park ,SA9 1AE,Ystradgynlais ,Neath Port Talbot Wales,07974 184563,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/watts-bricklaying---carpentry-services-26789882.html
1st Strike Welding Services,NA,NA,NA,NA,NA,NA,NA,"Ystradgynlais Workshops, Trawsfford Road, Unit 301 ",SA9 1BS,Ystradgynlais ,Neath Port Talbot Wales,01639 849319,NA,NA,NA,first-strike-welding-services.business.site,NA,"Motorcycles, Motorbikes, Bikes",Motorcycle Repair,"Buy Motorcycle, Motorcycle Sales, Mopeds, Motor Scooters, Motorcycle Service, Cycles, Motorcycle Repair & Service",NA,NA,,NA,NA,"Automotive Ystradgynlais,Motorcycles & Scooters Ystradgynlais,Automotive,Motorcycles & Scooters",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/1st-strike-welding-services-14175008.html
Concept Architectural Services,NA,NA,NA,NA,NA,NA,NA,3 Brecon Rd ,SA9 1HE,Ystradgynlais ,Neath Port Talbot Wales,01792 812010,NA,NA,NA,www.concept-architectural.co.uk,NA,NA,NA,NA,NA,NA,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/concept-architectural-services-26426925.html
Maesydderwen Comprehensive School,NA,NA,NA,NA,NA,NA,NA,TUDOR STREET,SA9 1AP,Ystradgynlais ,Neath Port Talbot Wales,01639 842115,NA,01639 843648,NA,www.ysgolmaesydderwen.co.uk,NA,NA,Childcare Providers,"School, Schooling, Local Authority Schools, Extra Curricular Activities, School Teachers, Education, Learning, Teaching, Classes, College, University, Student, Teaching Activities, Teaching Methods, Childcare Assistance, Child Development, School Curriculum, Education and Schools",NA,NA,,NA,NA,"Education Ystradgynlais,Schools Ystradgynlais,Education,Schools",,NA,NA,08:00 - 16:00,Closed,Closed,Closed,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,https://ystradgynlais.cylex-uk.co.uk/company/maesydderwen-comprehensive-school-15656340.html
Western Valleys Communities First,NA,NA,NA,NA,NA,NA,NA,61-66 Penybryn / Dove Workshop ,SA9 1JB,Ystradgynlais ,Neath Port Talbot Wales,01639 701169,NA,01639 685918,NA,,NA,NA,NA,"Organisations, Public & Government Services, Public & Government Service, Sports & Recreation Venue",NA,NA,,NA,NA,,,https://www.facebook.com/Western-Valleys-Communities-First-408328955929187,NA,09:00 - 17:00,09:00 - 17:00,Closed,Closed,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,https://ystradgynlais.cylex-uk.co.uk/company/western-valleys-communities-first-26205474.html
Pulse Form & Fitness Ltd,PULSE FORM & FITNESS LTD,7267824,England/Wales,NA,93199 - Other sports activities,27-May-10,Private Limited Company,"Unit 2, Caerbont Enterprise Park ",SA9 1SW,Ystradgynlais ,Neath Port Talbot Wales,01639 731422,NA,NA,NA,,NA,NA,NA,"Sports, Health, Beauty Salon, Sports and Recreation Services, Gym, Stadium, Arena & Sports Venue, Gym & Physical Fitness Centre",NA,NA,,NA,NA,"Arts, Entertainment & Nightlife Ystradgynlais,Amusement Parks, Theme Parks & Arcades Ystradgynlais,Sports & Recreation,Golf,Golf Courses & Clubs,Sports & Recreation,Indoor & Outdoor Activities,Riding Schools,Arts, Entertainment & Nightlife,Amusement Parks, Theme Parks & Arcades",,https://www.facebook.com/pulseformandfitnesss,NA,06:00 - 21:00,05:30 - 21:00,09:00 - 13:00,09:00 - 13:00,05:30 - 21:00,06:00 - 21:00,05:30 - 21:00,https://ystradgynlais.cylex-uk.co.uk/company/pulse-form---fitness-ltd-20724117.html
Eifion W Richards,NA,NA,NA,NA,NA,NA,NA,30 HEOL EGLWYS ,SA9 1EY,Ystradgynlais ,Neath Port Talbot Wales,01639 842112,NA,NA,NA,,NA,Drugs,"Prescriptions, Drug Therapy, Medical","Pharmacy, Pharmacist, Medication, Medicines, Apothecary, Pharmaceutical Drugs, Pharmacy Services, Prescription Drugs, Pain-Killer, Retail Pharmacies, Pharmacy Technician, Pharmaceuticals, Health, Chemistry",NA,NA,,NA,NA,"Health & Medicine Ystradgynlais,Pharmacies Ystradgynlais,Health & Medicine,Pharmacies",,NA,"Dispensing Chemists, Chemists, Drugstore",09:00 - 17:30,09:00 - 17:30,09:00 - 11:30,Closed,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,https://ystradgynlais.cylex-uk.co.uk/company/eifion-w-richards-18682267.html
Medivet Ystradgynlais - Ash Veterinary Surgery,NA,NA,NA,NA,NA,NA,NA,Heol Maes-Y-Dre ,SA9 1HA,Ystradgynlais ,Neath Port Talbot Wales,01639 844488,ystradgynlais@medivet.co.uk,NA,NA,www.medivet.co.uk/vet-practices/ystradgynlais/?utm_source=cy&utm_medium=organic&utm_campaign=cylex_lpm_ystradgynlais_-_ash_veterinary_surgery,NA,NA,"Pet Groomer, Pet Store, Kennel","Animal Hospital, Pet Shop, Animal",NA,NA,,NA,NA,"Pets & Animals Ystradgynlais,Veterinary Services Ystradgynlais,Veterinarians Ystradgynlais,Pets & Animals,Veterinary Services,Veterinarians",,NA,"Veterinarian, Veterinary Care, Emergency Veterinarian Service, Kennels, Pet Groomers",NA,NA,Closed,Closed,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/medivet-ystradgynlais---ash-veterinary-surgery-26363209.html
D & K Carpentry Contractors Limited,D & K CARPENTRY CONTRACTORS LIMITED,920453941,England/Wales,NA,43320 - Joinery installation,2-Nov-10,Private Limited Company,"Ynyscedwyn Industrial Estate, Trawsffordd Road, Unit 20 ",SA9 1DT,Ystradgynlais ,Neath Port Talbot Wales,01639 841770,NA,07815 927753,01639 845575,www.dkcarpentry.co.uk,NA,NA,"Joinery, Joinery Installation, Carpentry, Carpentry Work, Commercial Carpentry",NA,NA,NA,,NA,NA,"Construction & Contractors Ystradgynlais,Woodworking Ystradgynlais,Best Carpenters & Joiners Ystradgynlais,Construction & Contractors,Woodworking,Carpenters & Joiners",,https://www.facebook.com/DandKCarpentry,"Carpenters & Joiners, Carpentry Contractors, Carpentry Specialists",08:30 - 16:30,08:30 - 16:30,Closed,Closed,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,https://ystradgynlais.cylex-uk.co.uk/company/d---k-carpentry-contractors-limited-18006734.html
clearahome-Wales,NA,NA,NA,NA,NA,NA,NA,"Ystradgynlais Workshops, Trawsfford Rd, Unit 17 ",SA9 1BS,Ystradgynlais ,Neath Port Talbot Wales,07436 801460,NA,0370 850 6506,NA,www.clearahome-wales.co.uk,NA,NA,NA,NA,NA,NA,,NA,NA,"Home & Garden Ystradgynlais,Gardeners Ystradgynlais,Community & Government,Waste Management,Waste & Rubbish Collection,Home & Garden,Gardeners,Business & Professional Services,Removals & Relocation Services",,"https://www.facebook.com/clearahome-Wales-1778704519067195/,https://twitter.com/intent/user?screen_name=Clearahomewales&original_referer=https%3a%2f%2fystradgynlais.cylex-uk.co.uk%2fcompany%2fclearahome-wales-23889477.html",NA,08:00 - 19:00,08:00 - 19:00,07:30 - 18:00,07:30 - 17:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,https://ystradgynlais.cylex-uk.co.uk/company/clearahome-wales-23889477.html
Mb Plant Training Limited,MB PLANT TRAINING LIMITED,5063927,England/Wales,NA,82990 - Other business support service activities not elsewhere classified,4-Mar-04,Private Limited Company,249 Brecon Rd ,SA9 1QT,Ystradgynlais ,Neath Port Talbot Wales,01639 844925,NA,NA,NA,www.mbplanttraining.com,NA,NA,NA,"Business Support, Business Advice, Training Services",NA,NA,,NA,NA,"Business & Professional Services Ystradgynlais,Business Consultants Ystradgynlais,Business Enterprise Agencies Ystradgynlais,Business & Professional Services,Business Consultants,Business Enterprise Agencies,Business & Professional Services,Business Consultants,Business & Management Consultants",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/mb-plant-training-limited-21775888.html
British Red Cross,NA,NA,NA,NA,NA,NA,NA,24 Heol Eglwys ,SA9 1EY,Ystradgynlais ,Neath Port Talbot Wales,01639 843825,NA,NA,NA,www.redcross.org.uk,NA,"first aid books, first aid kits, greetings cards, toys, jewellery, bags, purses, dvd's, toiletries, craft books, Greeting Cards","shop, First Aid Training","Humanitarian Organisations, Shops, DVD",NA,NA,,NA,NA,"Community & Government Ystradgynlais,Charities & Voluntary Organisations Ystradgynlais,Community & Government,Charities & Voluntary Organisations","Maestro,MasterCard,Visa","https://www.facebook.com/BritishRedCross,https://twitter.com/intent/user?screen_name=britishredcross&original_referer=https%3a%2f%2fystradgynlais.cylex-uk.co.uk%2fcompany%2fbritish-red-cross-13942554.html,https://www.youtube.com/user/britishredcross,https://www.linkedin.com/company/british-red-cross,https://www.flickr.com/photos/britishredcross",NA,09:30 - 04:30,09:30 - 04:30,Closed,Closed,09:30 - 04:30,09:30 - 04:30,09:30 - 04:30,https://ystradgynlais.cylex-uk.co.uk/company/british-red-cross-13942554.html
Tours and Rider Training SWANSEA,NA,NA,NA,NA,NA,NA,NA,"UNIT 15, WOODLANDS BUSINESS PARK ",SA9 1JW,Ystradgynlais ,Neath Port Talbot Wales,08452 304015,NA,08452 304015,NA,,NA,"Motorcycles, Bikes",Tours,BMW,NA,NA,,NA,NA,"Automotive Ystradgynlais,Motorcycles & Scooters Ystradgynlais,Sports & Recreation,Sporting Goods,Bicycle Shops,Automotive,Motorcycles & Scooters",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/tours-and-rider-training-swansea-19356880.html
Ladders4sale,ABBEY ACCESS LIMITED,891880380,England/Wales,55 Mill Race Neath Abbey Neath West Glamorgan SA10 7FL,47910 - Retail sale via mail order houses or via Internet,25-Jun-07,Private Limited Company,"23, Ynyscedwyn Industrial Estate ",SA9 1DT,Ystradgynlais ,Neath Port Talbot Wales,01639 849847,NA,01639 814613,0845 505 3000,www.abbeyaccess.co.uk,NA,Loft Ladders,Extensions,"Mail-Order House, Internet Retail Sales, Multi Purpose Ladders, Business Services, Lofts, Roof, Ladders, Step, Telescopic, Step Ladders, Podium Steps, Telescopic Ladders, Combination Ladders, Aluminium Ladders, Sack Truck, Hand Truck, Platform Truck, Garden Trolley, Hand Trolley, Industrial Trolleys, Platform Trolley, Sack Trolley, Sack Truck Wheels, Folding Sack Truck, Folding Trolley, Garden Truck, Sack Trucks for Sale, Stair Sack Truck",NA,NA,,NA,NA,"Construction & Contractors Ystradgynlais,Building Materials Ystradgynlais,Loft Ladders Ystradgynlais,Construction & Contractors,Building Materials,Loft Ladders,Shopping & Retail,Mail Order & Catalogue Shopping",,"http://www.facebook.com/pages/Abbey-Access-Ltd/104950156264128,https://twitter.com/intent/user?screen_name=ladders4sale&original_referer=https%3a%2f%2fystradgynlais.cylex-uk.co.uk%2fcompany%2fladders4sale-19307110.html","other, local business",09:00 - 17:30,09:00 - 17:00,Closed,Closed,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,https://ystradgynlais.cylex-uk.co.uk/company/ladders4sale-19307110.html
Powys Training Ystradgynlais Library,NA,NA,NA,NA,NA,NA,NA,Temperance Street ,SA9 1JJ,Ystradgynlais ,Neath Port Talbot Wales,01639 845353,NA,NA,NA,,NA,NA,NA,Library,NA,NA,,NA,NA,"Community & Government Ystradgynlais,Libraries & Archives Ystradgynlais,Community & Government,Libraries & Archives",,"https://www.facebook.com/powyscc,https://twitter.com/intent/user?screen_name=powyscc&original_referer=https%3a%2f%2fystradgynlais.cylex-uk.co.uk%2fcompany%2fpowys-training-ystradgynlais-library-26714225.html",NA,10:00 - 17:00,10:00 - 16:00,10:00 - 12:30,Closed,10:00 - 18:00,10:00 - 17:00,10:00 - 13:00,https://ystradgynlais.cylex-uk.co.uk/company/powys-training-ystradgynlais-library-26714225.html
All Wales Ambulance Services Ltd,ALL WALES AMBULANCE SERVICES LIMITED,3876322,England/Wales,Ambulance Headquarters 7 - 10 Ynyscedwyn Business Park Trawsffordd Road Ystradgynlais Swansea SA9 1DT,86900 - Other human health activities,12-Nov-99,Private Limited Company,7-10 YNYSCEDWYN BUSINESS PARK ,SA9 1DT,Ystradgynlais ,Neath Port Talbot Wales,01639 844111,NA,01639 849600,NA,awas.co.uk,NA,NA,"patient transport, non-emergency patient transport, Medical Services, Public Health Services, Emergency Transport, Transport, First Aid Training","Ambulance, Ambulance Service, First Aid, Air Ambulance, Paramedics, Air Ambulance Service, Emergency Services, Leisure, Services, Training, Hospital, Private, NHS, National Health Service, Qualified, Medical Cover, Healthcare Training, Ambulance Job Vacancies, Welsh Ambulance Service, Frontline Ambulances",NA,NA,,NA,NA,"Health & Medicine Ystradgynlais,Emergency Medical Services Ystradgynlais,Ambulance Services Ystradgynlais,Health & Medicine,Emergency Medical Services,Ambulance Services,Health & Medicine,Medical Facilities,Clinics & Medical Centres",,NA,Clinic,NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/all-wales-ambulance-services-ltd-15640274.html
